enst	entrez	tsea	pLI	oe_lof_upper	mis_z	subre	module	go	corum	string	target
ENST00000355294	83593	0	0.043347000000000004	0.685	1.1087	2	other	0	no	0	0
ENST00000355303	55107	0	0.87426	0.33	2.77	1	other	12	no	1	0
ENST00000355305	26052	1	0.0029890999999999997	0.47700000000000004	2.7753	1	M7	17	no	0	0
ENST00000355319	1813	1	0.14887999999999998	0.555	2.6154	1	other	95	no	0	0
ENST00000355329	283385	0	1.54e-07	1.301	0.6159600000000001	1	M4	0	no	0	0
ENST00000355341	84936	0	3.2e-14	1.143	0.44503000000000004	0	other	2	no	0	0
ENST00000355346	9270	0	9.7e-05	1.139	0.7115600000000001	0	other	36	no	0	0
ENST00000355349	4625	0	4.2400000000000004e-16	0.575	3.9329	0	other	17	no	0	0
ENST00000355377	51760	1	1.1e-05	0.9259999999999999	1.1778	0	other	24	no	0	0
ENST00000355387	55182	0	0.9995799999999999	0.20199999999999999	2.2243	1	other	3	no	0	0
ENST00000355388	93979	0	0.00018213	0.7490000000000001	0.59101	0	other	0	no	0	0
ENST00000355394	10006	0	0.010624	0.584	2.0493	0	other	1	no	0	0
ENST00000355417	26112	0	4.91e-12	1.2830000000000001	-0.32661999999999997	0	other	4	no	0	0
ENST00000355422	2674	0	0.1175	0.524	1.3928	2	other	3	no	0	0
ENST00000355426	2202	0	0.99992	0.153	1.8234	0	other	9	no	0	0
ENST00000355431	5926	0	1.0	0.139	1.4478	0	M7	1	no	1	0
ENST00000355451	23386	0	0.44788	0.491	0.85105	0	other	0	no	0	0
ENST00000355467	84450	0	0.9765	0.313	2.4146	3	M7	0	no	0	0
ENST00000355524	2204	0	6.6e-08	1.632	-0.65745	0	other	0	no	0	0
ENST00000355526	8193	1	0.99049	0.285	3.0732	2	M4	4	no	1	0
ENST00000355530	201305	0	1.7200000000000001e-12	1.251	0.33782	0	other	0	no	0	0
ENST00000355537	9745	1	0.9995799999999999	0.218	2.4037	0	other	1	no	0	0
ENST00000355549	81553	1	0.20603000000000002	0.526	2.8735	3	M7	0	no	0	0
ENST00000355556	3359	1	1.7500000000000002e-10	1.141	-1.1688	0	other	14	no	0	0
ENST00000355557	7699	0	1.17e-06	1.699	-0.065982	0	M7	1	no	0	0
ENST00000355568	341676	1	1.0099999999999999e-23	1.171	0.42278000000000004	0	other	0	no	0	0
ENST00000355574	116369	1	4.26e-12	0.835	1.4362	0	M4	0	no	0	0
ENST00000355585	8871	1	8.5e-14	0.691	0.71512	1	other	3	no	0	0
ENST00000355594	148741	0	1.6600000000000001e-25	1.081	0.32236	0	other	0	no	0	0
ENST00000355610	79710	0	0.9978299999999999	0.249	1.3623	0	other	4	no	0	0
ENST00000355612	390792	0	6.2e-13	1.2209999999999999	0.16012	0	other	0	no	0	0
ENST00000355619	26224	0	0.9807	0.28800000000000003	2.833	0	M7	3	no	0	0
ENST00000355621	7328	0	0.94063	0.355	3.2981	0	M7	0	no	0	0
ENST00000355622	7099	0	4.6100000000000004e-09	0.992	0.64657	0	other	26	no	0	0
ENST00000355634	8470	0	0.035916000000000003	0.402	0.10762000000000001	0	M7	16	no	0	0
ENST00000355640	331	0	0.91837	0.374	1.4931	0	M1	11	no	0	0
ENST00000355653	10493	0	0.005462699999999999	0.8370000000000001	1.4140000000000001	1	M1	1	no	0	0
ENST00000355673	114785	0	0.9993700000000001	0.209	-0.74132	0	other	3	no	1	0
ENST00000355680	3275	0	0.0016132000000000002	0.653	1.7890000000000001	0	M4	22	no	0	0
ENST00000355690	160364	0	2.6e-07	1.43	-0.21650999999999998	0	other	0	no	0	0
ENST00000355697	119559	0	1.24e-07	0.912	0.76539	0	M1	0	no	0	0
ENST00000355740	355	0	0.8117	0.441	1.2317	0	other	13	no	0	0
ENST00000355749	4698	0	0.0018727999999999998	1.3719999999999999	0.20002999999999999	0	other	0	no	0	0
ENST00000355754	115361	0	9.18e-16	1.24	0.48118999999999995	0	other	0	no	0	0
ENST00000355758	29066	0	1.0	0.115	1.749	0	M1	2	no	0	0
ENST00000355765	55015	0	0.99875	0.23800000000000002	2.6867	1	M1	5	no	0	0
ENST00000355774	27030	0	4.9e-08	0.5870000000000001	0.73563	0	M7	0	no	0	0
ENST00000355784	391189	0	0.050098000000000004	1.082	-0.3482	0	other	0	no	0	0
ENST00000355790	55222	0	0.04387	1.133	0.46486000000000005	0	M7	0	no	0	0
ENST00000355810	419	0	5.1e-15	1.425	0.14506	1	other	0	no	0	0
ENST00000355814	5265	0	6.85e-08	1.626	-0.37306999999999996	0	other	0	no	0	0
ENST00000355815	6720	0	0.014708	0.45	1.9757	0	other	5	no	0	0
ENST00000355819	283420	1	1.85e-05	1.206	0.50392	0	other	0	no	0	0
ENST00000355849	10656	0	0.44237	0.493	1.3183	3	M7	3	no	0	0
ENST00000355867	6840	0	0.00086302	0.358	0.8851100000000001	6	other	16	no	0	0
ENST00000355868	126248	0	1.54e-08	1.1059999999999999	0.9598899999999999	0	other	0	no	0	0
ENST00000355870	56164	0	0.0066159999999999995	0.425	0.26243	1	other	0	no	0	0
ENST00000355883	283579	0	0.00046544	1.945	-0.24345999999999998	0	other	0	no	0	0
ENST00000355897	26996	0	0.00072275	1.263	0.21083000000000002	0	other	0	no	0	0
ENST00000355899	5358	0	0.98844	0.28300000000000003	2.7103	1	other	1	no	0	0
ENST00000355917	84062	0	1.14e-06	1.056	-0.3124	0	other	30	no	0	0
ENST00000355943	91137	0	1.31e-05	0.9059999999999999	0.15986	0	other	0	no	0	0
ENST00000355947	89122	0	8.5e-12	1.359	0.10736	0	other	0	no	0	0
ENST00000355994	4155	1	0.27263000000000004	0.552	0.8695299999999999	0	other	7	no	0	0
ENST00000355999	27347	0	0.99916	0.23	2.1111	1	other	15	no	0	0
ENST00000356003	11060	0	0.16477	0.379	1.5942	0	M7	9	no	0	0
ENST00000356016	84458	0	0.9502200000000001	0.345	1.1206	6	M1	7	yes	0	0
ENST00000356018	54766	0	0.16682	0.737	0.24131999999999998	0	other	1	no	0	0
ENST00000356026	8510	0	0.11732000000000001	1.834	0.53803	0	other	0	no	0	0
ENST00000356031	79925	0	3.12e-25	0.7170000000000001	-1.0098	0	other	3	no	0	0
ENST00000356080	120	0	0.9988	0.24600000000000002	0.3296	0	other	11	no	0	0
ENST00000356082	3914	0	2.31e-15	0.738	-0.52479	0	other	5	no	0	0
ENST00000356083	85301	0	0.5864	0.312	0.6291	1	other	0	no	0	0
ENST00000356090	23154	1	0.99964	0.175	3.7632	0	other	2	no	0	0
ENST00000356091	79716	0	9.85e-07	1.073	0.50952	0	other	0	no	0	0
ENST00000356109	51710	0	0.0025686	1.271	0.56099	0	M1	0	no	0	0
ENST00000356116	51703	0	2.8899999999999997e-09	0.727	0.71717	0	other	0	no	0	0
ENST00000356130	283162	0	0.028169	1.324	0.42575	0	other	0	no	0	0
ENST00000356132	6484	0	0.054477	0.581	1.5697	0	M7	1	no	0	0
ENST00000356134	57101	0	3.71e-26	1.02	-0.007403	1	other	1	no	1	0
ENST00000356136	7405	0	0.9894200000000001	0.294	1.4854	0	M7	5	no	0	0
ENST00000356140	130013	0	1.3899999999999999e-08	1.1159999999999999	0.010511	2	other	0	no	0	0
ENST00000356150	26751	0	5.37e-08	1.112	0.5011899999999999	0	other	4	no	0	0
ENST00000356151	54899	1	0.010847	0.479	1.0934	0	other	0	no	0	0
ENST00000356157	83473	0	4.3700000000000004e-09	0.8220000000000001	0.5995	0	other	2	no	0	0
ENST00000356166	64319	0	0.99987	0.159	0.7642800000000001	0	other	0	no	1	0
ENST00000356183	2975	0	1.0	0.17300000000000001	3.2622	0	M7	1	no	0	0
ENST00000356189	414149	1	0.11605	1.19	0.032080000000000004	0	other	0	no	0	0
ENST00000356198	91687	0	0.071221	0.628	0.7579600000000001	4	other	13	no	0	0
ENST00000356208	55544	0	0.71583	0.561	1.0299	1	M7	1	no	0	0
ENST00000356219	9612	0	1.0	0.16899999999999998	2.0269	0	other	14	no	0	0
ENST00000356221	8881	0	0.88087	0.348	1.7277	0	M1	10	no	0	0
ENST00000356231	146059	0	1.1100000000000001e-12	0.675	-0.9370799999999999	0	M1	5	no	0	0
ENST00000356244	5905	0	0.025531	0.5329999999999999	1.1389	0	other	10	no	0	0
ENST00000356253	781	0	0.9999	0.244	3.5188	2	M4	37	no	0	0
ENST00000356257	118813	0	1.06e-09	1.109	0.81786	0	other	25	no	0	0
ENST00000356260	55153	0	1.83e-20	1.044	-0.032727	0	other	2	no	0	0
ENST00000356264	273	1	1.7e-05	0.569	1.4925	0	other	7	no	0	0
ENST00000356286	10616	0	0.13497	0.45299999999999996	2.0034	0	M7	1	no	0	0
ENST00000356291	389208	0	1.24e-09	0.9990000000000001	0.38795	0	other	0	no	0	0
ENST00000356297	137902	0	2.2e-35	1.091	-0.19655	0	other	0	no	0	0
ENST00000356300	84502	1	0.9994799999999999	0.13699999999999998	2.5587	0	other	13	no	0	0
ENST00000356317	11226	0	1.4199999999999999e-09	0.899	0.35386	1	other	0	no	0	0
ENST00000356321	54989	0	0.99077	0.275	0.8413	2	M1	0	no	0	0
ENST00000356348	3841	0	0.00017426	0.621	1.2598	2	M7	2	no	0	0
ENST00000356352	26019	0	1.0	0.099	3.1919	0	M7	2	no	0	0
ENST00000356386	11118	0	1.1e-10	1.415	0.57485	0	other	1	no	0	0
ENST00000356387	80228	0	0.20459000000000002	0.9159999999999999	1.4535	0	M7	2	no	0	0
ENST00000356396	4047	0	2.65e-07	0.59	0.66496	0	M1	1	no	0	0
ENST00000356401	10425	0	0.99374	0.28300000000000003	3.5771	0	M7	8	no	0	0
ENST00000356404	9600	0	0.0013838	0.433	3.1905	0	other	1	no	0	0
ENST00000356406	8310	0	7.599999999999999e-16	1.063	-0.44493999999999995	0	M7	0	no	0	0
ENST00000356415	5906	0	0.62227	0.537	2.3624	0	other	30	no	0	0
ENST00000356427	80063	0	0.15780999999999998	0.47100000000000003	-1.3183	0	other	0	no	0	0
ENST00000356436	51256	0	1.8000000000000002e-12	1.6580000000000001	0.14440999999999998	0	M1	5	no	0	0
ENST00000356443	8736	0	1.7299999999999999e-40	0.953	0.61797	0	other	6	no	0	0
ENST00000356450	170685	1	0.1065	1.239	0.97888	4	other	0	no	0	0
ENST00000356455	11065	0	0.10513	0.848	0.5049	7	other	12	no	0	0
ENST00000356493	30968	0	0.0024144	0.696	1.5463	0	other	8	no	0	0
ENST00000356495	5284	0	0.8133100000000001	0.371	1.1438	0	other	2	no	0	0
ENST00000356517	344752	0	1.06e-08	1.652	0.20938	0	other	0	no	0	0
ENST00000356518	80332	0	2.15e-15	0.922	0.68787	0	other	0	no	0	0
ENST00000356535	2173	1	0.011309999999999999	1.719	0.47741999999999996	2	M1	0	no	0	0
ENST00000356537	55246	0	0.0091245	0.764	1.5549	0	other	0	no	0	0
ENST00000356539	389170	0	4.98e-11	1.047	0.34635	0	other	0	no	0	0
ENST00000356545	284654	0	1.44e-06	1.399	0.64658	4	other	4	no	0	0
ENST00000356554	10905	0	0.99892	0.235	2.5642	0	other	0	no	0	0
ENST00000356588	114960	0	7.389999999999999e-10	1.5630000000000002	-0.46557	0	other	0	no	0	0
ENST00000356608	85320	0	3.99e-46	1.236	-0.19701	0	other	0	no	0	0
ENST00000356657	2224	0	0.0056199	0.628	1.094	0	M1	0	no	0	0
ENST00000356671	7625	0	1.56e-06	0.89	1.1439	4	M1	0	no	0	0
ENST00000356692	151987	0	0.99835	0.16	0.0008929000000000001	2	M7	3	no	1	0
ENST00000356709	10385	0	1.3800000000000002e-11	1.214	-0.038965	1	other	1	no	0	0
ENST00000356713	26507	1	0.017606999999999998	0.515	2.7449	2	other	0	no	0	0
ENST00000356719	84542	0	7.59e-09	0.685	0.37375	0	M1	0	no	0	0
ENST00000356721	6477	0	0.6986600000000001	0.499	3.2273	1	M1	6	no	0	0
ENST00000356762	92359	0	0.35784	1.026	0.2805	1	other	3	no	0	0
ENST00000356763	30849	0	0.024537	0.39	2.4781	0	other	5	no	0	0
ENST00000356766	55124	0	2.71e-08	0.605	-0.11932999999999999	1	M1	9	no	0	0
ENST00000356786	283234	0	1.4000000000000001e-09	0.528	0.94304	1	other	1	no	0	0
ENST00000356797	10124	0	0.80528	0.5529999999999999	0.46143999999999996	1	other	0	no	0	0
ENST00000356798	3683	0	0.0043213	0.41200000000000003	2.1822	0	other	2	no	0	0
ENST00000356815	3042	0	0.012270999999999999	1.69	-0.37066	1	M7	0	no	0	0
ENST00000356840	29116	0	0.18431	0.536	1.0799	2	M13	7	no	0	0
ENST00000356847	2803	0	9.48e-16	0.515	-0.10343	0	other	20	no	0	0
ENST00000356864	8794	0	3.16e-06	1.798	0.8192299999999999	0	other	0	no	0	0
ENST00000356889	63979	0	0.00012046	0.787	-0.5222899999999999	3	M1	7	no	0	0
ENST00000356891	91298	0	2.11e-08	1.36	0.8198799999999999	0	other	0	no	0	0
ENST00000356896	25900	0	0.00013393	0.695	0.97403	0	other	2	no	0	0
ENST00000356955	8751	0	2.4399999999999997e-16	0.8640000000000001	1.0693	0	other	14	no	0	0
ENST00000356956	3482	0	1.0	0.212	2.0655	0	M7	3	no	0	0
ENST00000356957	51061	0	3.6600000000000003e-10	0.7759999999999999	-1.2415	0	M7	0	no	0	0
ENST00000356958	199704	0	8.68e-05	0.66	0.8568899999999999	0	M7	0	no	0	0
ENST00000356970	23155	0	0.0062025	0.568	1.0988	0	M7	0	no	0	0
ENST00000356976	9463	0	0.0081806	0.6709999999999999	2.0126	0	other	50	no	0	0
ENST00000356998	4242	0	7.66e-10	1.5590000000000002	0.30094	5	other	2	no	0	0
ENST00000357001	2980	0	0.28692	1.214	-1.0715	0	other	0	no	0	0
ENST00000357002	9534	0	0.00050407	1.7590000000000001	-3.1519999999999997	5	M1	0	no	0	0
ENST00000357003	141	0	2.99e-06	1.2830000000000001	0.20019	0	other	1	no	0	0
ENST00000357032	51062	1	0.9772700000000001	0.312	2.6571	0	other	0	no	0	0
ENST00000357043	11186	0	4.93e-06	1.206	0.33781	0	M7	1	no	0	0
ENST00000357052	53916	0	0.67089	0.513	0.92432	0	other	1	no	0	0
ENST00000357063	4008	0	5.870000000000001e-13	0.531	-0.43223999999999996	3	M4	0	no	0	0
ENST00000357067	1635	0	0.00070935	1.268	0.17581	0	other	0	no	0	0
ENST00000357068	5625	0	5.36e-12	1.1	0.064942	0	other	1	no	0	0
ENST00000357084	487	0	1.54e-14	0.833	1.5388	0	other	17	no	0	0
ENST00000357099	56311	0	1.63e-06	1.1740000000000002	0.95534	0	other	0	no	0	0
ENST00000357103	79602	0	0.36218	0.518	2.6533	0	M7	3	no	0	0
ENST00000357123	10445	0	0.16560999999999998	0.46799999999999997	2.1968	0	M7	23	yes	1	0
ENST00000357154	50859	1	0.013583000000000001	0.569	0.39003000000000004	0	other	3	no	0	0
ENST00000357172	10390	0	0.99351	0.244	2.5011	0	other	0	no	0	0
ENST00000357179	8940	0	0.00021389	0.5379999999999999	2.226	0	M7	1	no	0	0
ENST00000357183	135250	0	2.3100000000000002e-07	1.692	0.023733	0	other	0	no	0	0
ENST00000357191	391190	0	0.31779	1.86	-0.7691600000000001	0	other	0	no	0	0
ENST00000357194	7323	0	0.41278000000000004	0.665	2.9946	0	M7	10	no	0	0
ENST00000357198	79930	0	0.00090501	0.7959999999999999	0.36432	1	M4	0	no	0	0
ENST00000357214	6421	0	0.99992	0.152	2.9778	0	M1	15	yes	1	0
ENST00000357232	54798	0	7.419999999999999e-47	1.025	-0.49728999999999995	1	other	0	no	0	0
ENST00000357234	3663	0	0.0090365	0.595	1.9181	0	other	2	no	0	0
ENST00000357235	56882	0	0.0035426999999999998	1.63	1.0143	0	M1	0	no	0	0
ENST00000357242	54885	0	5.9499999999999995e-09	0.743	0.05699	0	other	0	no	0	0
ENST00000357244	54542	0	1.0	0.16899999999999998	2.4483	2	M1	4	no	0	0
ENST00000357254	7571	0	1.08e-07	1.041	0.35734	0	M1	0	no	0	0
ENST00000357266	2289	0	0.73393	0.418	1.6174	0	other	0	no	0	0
ENST00000357277	9185	1	0.20309000000000002	0.486	1.3121	2	M13	0	no	0	0
ENST00000357308	2673	0	0.8995299999999999	0.33799999999999997	4.3482	1	M7	3	no	0	0
ENST00000357320	85235	0	0.00079028	1.916	-0.17029	7	other	0	no	0	0
ENST00000357321	25961	0	6.6200000000000005e-12	1.379	0.51236	0	other	0	no	0	0
ENST00000357324	57130	0	0.98939	0.294	2.6636	0	M7	0	no	0	0
ENST00000357328	57209	0	0.32621	0.485	0.48276	0	M7	1	no	0	0
ENST00000357330	85569	0	2.94e-05	1.7	-0.18053	5	M1	0	no	0	0
ENST00000357338	65989	0	0.77915	0.45799999999999996	1.9267	0	M1	2	no	0	0
ENST00000357384	55197	0	0.23876	0.569	1.9418	0	M7	0	no	0	0
ENST00000357385	51529	0	0.33285	0.735	1.1237	0	other	8	no	0	0
ENST00000357389	2621	0	0.00038045	0.5820000000000001	1.2071	0	other	30	no	0	0
ENST00000357392	9034	0	0.36861	1.777	-0.40555	0	other	2	no	0	0
ENST00000357396	1084	0	1.07e-09	1.52	-0.075164	0	other	0	no	0	0
ENST00000357402	9961	0	6.76e-08	0.726	2.0151	0	other	2	no	0	0
ENST00000357424	2695	0	0.27108000000000004	0.8059999999999999	-0.00966	0	other	5	no	0	0
ENST00000357428	23032	0	0.86249	0.331	2.1049	0	M7	10	no	0	0
ENST00000357429	84310	0	3.42e-06	1.787	-0.6864899999999999	0	other	0	no	0	0
ENST00000357436	23616	0	0.010463	0.54	1.5776	0	other	14	no	0	0
ENST00000357438	283160	0	0.21061	1.493	0.26121	0	other	0	no	0	0
ENST00000357440	3177	0	3.23e-14	1.411	0.48089	0	M1	2	no	0	0
ENST00000357443	4343	0	0.80908	0.34299999999999997	2.7581	0	other	13	no	0	0
ENST00000357447	55691	0	1.0	0.135	2.4555	2	M1	4	no	0	0
ENST00000357450	27127	0	0.1041	0.36	1.9453	0	other	5	no	1	0
ENST00000357479	29966	0	0.82925	0.35200000000000004	0.93473	0	M7	3	no	0	0
ENST00000357485	10865	0	0.9451799999999999	0.35	1.669	0	other	6	no	0	0
ENST00000357500	51367	0	4.14e-07	1.6019999999999999	0.52747	0	other	0	no	0	0
ENST00000357525	5350	0	0.44947	1.557	0.62444	0	other	16	no	0	0
ENST00000357552	10388	0	1.0	0.183	0.25831	0	other	4	no	0	0
ENST00000357559	8087	0	1.0	0.11900000000000001	3.201	0	M7	15	no	0	0
ENST00000357582	9064	0	1.05e-16	0.768	1.2379	1	other	2	no	0	0
ENST00000357585	6752	1	0.44416000000000005	0.643	1.0401	0	M4	3	no	0	0
ENST00000357590	2542	0	1.67e-05	0.878	0.0022631	0	M7	2	no	0	0
ENST00000357605	390038	0	0.004585499999999999	1.536	-1.1873	0	other	0	no	0	0
ENST00000357610	79841	0	3.61e-16	0.897	1.1892	0	other	0	no	0	0
ENST00000357618	3077	0	2.56e-08	1.186	0.63347	0	other	24	no	0	0
ENST00000357632	10803	0	0.0041986	1.127	0.9557200000000001	0	other	2	no	0	0
ENST00000357639	5169	0	3.4700000000000004e-23	1.025	0.074395	0	other	0	no	0	0
ENST00000357640	79961	0	0.00081369	0.637	1.1272	0	other	0	no	0	0
ENST00000357647	8968	0	6.29e-07	1.972	-2.8705	7	other	0	no	0	0
ENST00000357650	148867	0	1.87e-06	0.996	0.46706000000000003	0	M7	0	no	0	0
ENST00000357668	50807	0	1.0	0.188	3.3052	0	other	2	no	0	0
ENST00000357681	493	0	0.0015112	0.444	2.2484	0	other	41	no	0	0
ENST00000357685	83875	0	3.78e-18	1.2770000000000001	0.40998999999999997	0	other	0	no	0	0
ENST00000357700	79754	0	6.519999999999999e-10	1.778	0.15085	0	other	0	no	0	0
ENST00000357701	4606	0	3.8299999999999997e-23	0.9640000000000001	0.67437	0	other	0	no	0	0
ENST00000357702	79595	0	1.0	0.159	3.2452	0	M7	3	no	1	0
ENST00000357727	9586	0	0.22336999999999999	0.48	1.6130000000000002	6	other	0	no	0	0
ENST00000357736	4097	0	0.7317600000000001	0.688	2.0759	0	other	1	no	0	0
ENST00000357742	55784	0	6.03e-52	1.636	-1.416	0	other	8	no	0	0
ENST00000357743	51125	0	0.45619	0.634	1.4464	0	M7	7	no	0	0
ENST00000357750	8692	0	0.18682	0.535	1.395	0	M1	34	no	0	0
ENST00000357754	400591	1	0.0081248	1.8119999999999998	-0.36409	2	other	0	no	0	0
ENST00000357759	11148	0	1.73e-06	1.005	0.57317	0	other	1	no	0	0
ENST00000357763	3240	0	1.7100000000000002e-05	1.02	0.037217	0	other	3	no	0	0
ENST00000357780	337	0	5.45e-06	1.19	-1.2066	0	M1	1	no	0	0
ENST00000357822	57835	0	1.1400000000000002e-13	0.752	1.3948	0	M4	0	no	0	0
ENST00000357877	10505	0	9.15e-13	0.919	0.32188	0	other	23	no	0	0
ENST00000357881	5992	1	0.9999899999999999	0.147	2.2288	0	other	5	no	0	0
ENST00000357886	51654	0	7.779999999999999e-19	1.3559999999999999	1.2462	0	other	2	no	0	0
ENST00000357901	126068	0	0.3624	1.015	1.5597	3	M1	0	no	0	0
ENST00000357905	3018	0	0.0037893000000000002	1.919	-0.047548	7	other	0	no	0	0
ENST00000357947	7093	1	2.1399999999999997e-31	1.151	0.4468	0	other	0	no	0	0
ENST00000357949	29950	0	0.32037	1.1179999999999999	1.1532	1	other	3	no	0	0
ENST00000357955	7867	0	3.7200000000000004e-09	1.115	1.4393	0	other	6	no	0	0
ENST00000357967	112479	0	5.02e-10	0.975	1.5023	3	other	0	no	0	0
ENST00000357980	7168	0	0.0068086	0.688	3.1528	0	other	32	no	0	0
ENST00000357992	2005	0	0.0034070999999999997	0.915	0.48184	1	M7	4	no	0	0
ENST00000358007	51202	0	1.31e-10	0.983	0.39455	0	M7	1	no	0	0
ENST00000358011	54955	0	1.47e-06	1.396	0.27418000000000003	0	other	0	no	0	0
ENST00000358015	5887	0	0.9963	0.22699999999999998	1.7545	0	M7	10	no	0	0
ENST00000358024	9911	1	0.29466	0.494	2.2343	0	other	0	no	0	0
ENST00000358025	23224	0	1.6500000000000001e-25	0.37200000000000005	-1.4546	5	other	6	no	0	0
ENST00000358039	54879	0	2.2e-09	0.868	0.5828399999999999	0	M7	3	no	0	0
ENST00000358065	6419	0	0.00010188	1.13	0.26309	0	M1	26	no	0	0
ENST00000358067	79673	0	0.00036998	0.9129999999999999	0.11555	0	M7	0	no	0	0
ENST00000358080	51460	0	0.9358799999999999	0.324	2.0494	1	M1	2	no	0	0
ENST00000358117	744	0	0.99349	0.19899999999999998	1.9952	4	M1	0	no	0	0
ENST00000358120	284521	1	0.00098315	1.581	-0.23646	2	other	0	no	0	0
ENST00000358127	5079	0	0.99798	0.165	2.4521	1	M7	0	no	1	0
ENST00000358136	55187	0	1.07e-06	0.332	2.4957	0	other	3	no	0	0
ENST00000358138	389649	0	2.3199999999999998e-05	1.744	-0.081969	0	other	0	no	0	0
ENST00000358154	51108	0	0.80352	0.445	2.6186	0	M7	0	no	0	0
ENST00000358160	54762	0	5.629999999999999e-21	1.0759999999999998	0.84285	1	other	2	no	0	0
ENST00000358171	871	0	0.027552999999999998	0.746	0.048227	0	other	2	no	0	0
ENST00000358186	622	0	7.57e-08	1.39	0.4126	0	other	0	no	0	0
ENST00000358201	79874	0	0.0011388	0.57	0.43238999999999994	0	M1	0	no	0	0
ENST00000358204	26136	0	1.02e-15	1.547	0.3907	2	M1	0	no	0	0
ENST00000358241	344892	0	6.71e-06	1.6780000000000002	-0.9676799999999999	0	other	0	no	0	0
ENST00000358252	85456	0	0.082629	0.377	-0.1574	0	M1	12	no	0	0
ENST00000358290	51170	0	2.08e-07	1.463	0.84446	0	other	0	no	0	0
ENST00000358296	163227	0	0.00018933	1.63	-0.82244	4	other	0	no	0	0
ENST00000358299	130026	1	0.00077913	0.64	0.91753	1	M4	0	no	0	0
ENST00000358301	10298	0	4.36e-05	0.784	0.59041	0	M7	3	no	0	0
ENST00000358303	51530	0	0.00025557	0.652	1.0964	0	M1	0	no	0	0
ENST00000358309	1524	1	0.061371	1.01	1.0803	0	other	28	no	0	0
ENST00000358316	10242	1	0.5544	0.574	0.8579399999999999	0	other	18	no	0	0
ENST00000358321	56241	0	1.8100000000000002e-21	1.107	0.11143	0	other	1	no	0	0
ENST00000358328	83694	1	1.2699999999999999e-07	0.91	0.61032	0	other	0	no	0	0
ENST00000358337	54853	0	5.04e-14	1.665	0.9721700000000001	0	M7	0	no	0	0
ENST00000358344	3182	0	0.76526	0.43200000000000005	1.1266	2	M7	4	no	0	0
ENST00000358350	285527	0	0.9972700000000001	0.272	2.9587	0	M7	3	no	0	0
ENST00000358365	55288	0	0.79851	0.35	2.4699	0	other	3	no	0	0
ENST00000358368	56949	0	0.9728100000000001	0.309	1.935	0	other	7	yes	1	0
ENST00000358372	9589	0	0.99966	0.13	2.2692	0	M1	7	no	0	0
ENST00000358387	79770	0	0.0096478	0.757	0.56315	0	M7	1	no	0	0
ENST00000358415	3698	1	3.8e-23	1.092	0.61312	0	other	0	no	0	0
ENST00000358430	167838	0	4.81e-12	1.1059999999999999	-0.63927	1	other	0	no	0	0
ENST00000358432	1969	0	1.07e-05	0.555	1.5553	1	other	39	no	0	0
ENST00000358463	388289	0	0.44753000000000004	0.858	0.2611	1	other	0	no	0	0
ENST00000358465	51592	0	1.0	0.086	4.4853	0	M7	10	yes	1	0
ENST00000358470	6775	0	0.7662	0.34700000000000003	2.7415	2	other	1	no	0	0
ENST00000358485	841	0	3.72e-06	0.8109999999999999	1.0099	0	other	16	no	0	0
ENST00000358491	353088	0	4.05e-05	1.8880000000000001	-0.9940000000000001	0	M7	0	no	0	0
ENST00000358495	5893	0	7.109999999999999e-11	1.109	0.55138	0	M1	1	no	0	0
ENST00000358524	399967	0	0.0005579	1.736	-0.29513	0	other	0	no	0	0
ENST00000358525	54716	0	2.66e-17	1.26	0.49651000000000006	0	other	2	no	0	0
ENST00000358526	8852	0	0.99323	0.24600000000000002	0.7835300000000001	0	other	0	no	0	0
ENST00000358531	84986	0	1.4199999999999998e-12	1.097	0.3409	4	other	1	no	0	0
ENST00000358540	84867	1	0.0014227999999999999	0.56	1.1179	0	other	1	no	0	0
ENST00000358559	4477	0	0.016199	1.579	0.78778	0	other	0	no	0	0
ENST00000358585	404552	0	0.057471	1.6	0.67074	0	other	0	no	0	0
ENST00000358595	405	0	0.9958100000000001	0.27899999999999997	2.2412	1	M7	14	no	0	0
ENST00000358602	26057	0	1.0	0.062	5.3588	0	M7	8	no	0	0
ENST00000358615	2996	0	0.0036896	1.6159999999999999	-0.22455999999999998	0	other	0	no	0	0
ENST00000358642	81050	0	0.013314	1.66	-1.0351	0	other	0	no	0	0
ENST00000358647	55340	0	0.096506	1.883	-0.5513600000000001	0	other	0	no	0	0
ENST00000358649	23178	0	1.95e-21	0.965	-0.042969	4	M1	5	no	0	0
ENST00000358656	286075	0	0.00131	1.114	0.67688	0	other	0	no	0	0
ENST00000358671	2213	0	0.45637	0.634	0.10819000000000001	0	other	17	no	0	0
ENST00000358697	7789	0	0.0043723	1.1159999999999999	0.19299000000000002	4	M7	1	no	0	0
ENST00000358701	169714	0	9.85e-08	0.838	0.6352399999999999	0	other	0	no	0	0
ENST00000358731	55814	0	1.3300000000000001e-21	0.596	-0.12440999999999999	0	M1	4	no	0	0
ENST00000358743	6525	0	1.6e-07	0.607	0.7913	0	M1	1	no	0	0
ENST00000358776	36	0	2.66e-11	1.172	-0.069716	0	other	0	no	0	0
ENST00000358780	143684	0	0.34062	0.48200000000000004	1.3138	7	M1	1	no	0	0
ENST00000358781	131177	0	0.00024114	0.9790000000000001	0.20518000000000003	0	other	5	no	0	0
